w_min,peak_min,nt_min,nt_max,ang_centroid,ang_vec_vel,ang_std
60,64.6,44.2,64.6,36.9935981609385,45.294995839704,24.0107776731818
72.8,72.8,13.6,70.4,39.802670616241,40.8783754978907,25.9035119552012
61.2,58.6,16.4,60.2,33.0681964822105,49.4096004059484,23.3778349590088
66.6,66.6,0.6,66.6,31.7517519477779,48.3495556703307,24.5603768994858
74.8,52.8,11.4,51.8,44.3036167053987,45.5417220834352,25.2746630855351
87.2,41.4,57.6,41.4,42.9213280247886,47.0974076124644,25.9399430041996
50.2,52.6,15.2,67.2,42.7812048844101,36.1640714707739,24.3983165406542
57.4,56.6,22.6,69.4,45.0565247223551,36.3164579502375,25.4241726475564
18.8,58.2,14.6,60.2,41.0838560224028,40.3246320266256,25.1363656578195
28.4,68.2,21.2,68.2,43.0569034757611,36.8459227927694,26.6653104582532
8.8,72.8,24.2,70.4,31.4418572932835,38.7892911916787,26.9483317323203
22,68.6,83.6,61.2,32.3697037930896,42.6754673816932,25.0711806465205
11.4,8.2,50.6,13.4,54.5156449406245,42.9552646571773,25.8033896302434
1.6,0.2,47.4,0.2,57.7139921910611,40.5805966947367,26.2714299307359
73.4,47,15.2,71.2,45.1108904940427,36.9319283179314,25.7100337544395
37,64.8,10.6,64.8,45.96375633755,40.8558132350561,25.0714873803409
63.4,83.6,41,63.6,47.5731272634863,39.9996472437722,25.2906097383423
10.6,10.6,54.8,28,46.940529387289,42.9646315552953,23.449180535682
69,67.2,10.2,67.2,34.2845997719837,31.1352766443115,20.1808064153014
73.4,76,11.4,72.4,32.6062833520141,30.5743109490381,20.7510147940443
71.8,67.4,7.8,67.4,34.8237900028363,33.3830622433447,22.0170946413472
70.4,72.2,10.4,71.2,32.8129284516785,32.404657333157,23.2073747554179
73.8,73.6,23,56.8,34.1918683863523,35.0719581619432,23.7934998011469
62.8,61.8,15.8,60.2,28.7846886463594,37.6756487115048,22.6651022233876
66.8,85,27.2,86.8,42.1779743765097,39.2722935890781,28.5062282440976
58.6,58.2,19.8,89.2,39.9745559387421,36.7223759661579,26.2629148750966
81,81,13.2,81,38.7235727161748,42.9965614725285,27.272899416234
0.4,0.6,51.6,88.8,50.2113679808915,42.0674751979294,27.8138244618175
80.6,84.2,25.6,67.4,51.3053231664506,40.2080771544545,26.6066624695599
89,87.2,17.6,0.2,34.1025149868717,42.6194033191428,28.2271410702965
49.8,49.2,80.6,43.2,36.2126454730318,34.331186355258,22.9248364539044
49.8,27,3.8,31.8,39.4388693922765,36.8413136674538,22.6229040662901
43.2,33.2,80.4,32.6,33.3036017204047,32.0891467565895,23.3870972812723
41.6,40.4,77,5.4,28.3445005416966,30.3522392916388,23.9927557018772
14.6,16.6,60.2,10,37.1312267966975,35.1715695540267,26.1213813431465
36.8,2.8,63.4,5.4,41.323352511441,35.877121095514,27.2284982414827
45.8,54.8,88.2,54.6,38.7913008969161,52.9776686545156,23.0883295738624
48.2,48.2,19.2,48.2,42.3701049387159,51.7426458640009,20.4577751554186
49,48.4,71.2,40.6,29.8990737168826,50.7795642383878,22.2410335677642
54.8,51.8,77.8,31,30.5360775619804,53.3128275707083,20.8070279800498
62.6,72.8,6.4,72.8,44.4209685615303,54.1886137621187,24.0534941999621
61.2,58.8,78.2,58.4,40.0114340144633,53.0499596162541,23.4038105635932
35,39.2,0.2,38.8,17.3736295522474,48.8108820267337,20.9491045020192
38.4,38.4,0.2,38.2,16.9635793470797,49.749320719466,20.6376098332255
51.6,37.2,0.2,40,18.5020976202471,48.7786606535295,21.8427677881189
44.2,26.8,1.2,28.6,16.5937401782251,46.8604982113545,22.9071343126992
35.2,35.2,66.6,35.4,15.619363361144,49.7308203245992,21.0759006010618
37.2,36.4,71.8,35.2,11.4096168461961,51.0360028235323,20.7254926836058
50.8,50.8,75.4,38.8,25.5361484501264,55.6716288201394,18.6641271936568
51.2,51.4,83.4,32.2,25.3990093344068,56.081527883129,19.8684579085268
37,35.2,53.2,35.2,17.7929767467242,58.3017046154962,16.5845871384052
50.8,53.2,78.4,45.2,23.8444040644115,53.5244052142279,18.3629868357541
49.4,48.4,66.2,40.8,22.6251297553086,53.6949375494581,18.1608611723578
18.6,39.6,80.2,20.6,20.2552423080448,57.0791045444849,18.5857714189846
16,15.2,29.6,75.2,62.4154449394529,32.9389406273983,23.9334172763381
1.6,23.2,45,76,62.3982062231567,34.2007867540347,24.8550088381733
54.6,72,23.2,53.8,35.2432587765525,41.4404776656021,25.0990190981847
61.8,61.8,32.4,49.2,39.0875277452372,41.7563949270599,24.086489258772
54.4,60.8,20.2,54.8,31.3720493276363,47.3753248460336,25.24083772575
17.6,17,85.6,19.2,42.4174471595874,64.3381679559234,22.7025564342942
12.6,16,23.8,4.2,52.3028122715255,75.4292441720634,13.1460441458673
64,36.2,33.2,4,32.5634122548703,54.4634205376514,24.8475181982164
56.8,57,0.2,47,25.358529256276,48.639114442177,18.9756680097951
55.8,50.4,16.8,48.2,24.289729600814,46.9332409968519,18.5875004269752
49,49,87.4,49.4,19.5327094177455,43.8459308971088,20.4966971136057
56,58.4,0.2,49.4,26.5952710349683,42.4316279278592,20.6453482278529
45.2,45.2,2.4,45.2,20.697033278571,48.916750750341,18.2437289371334
52.4,59,85.6,51.2,25.5784663975838,43.3996720905646,19.424807964025
66.2,85.6,30.8,70.8,38.3790826642501,43.1432171767417,26.5800221754185
35.4,32.2,15.4,56.8,37.2590100853465,44.264415522413,25.8997818290601
80.8,87.6,14.6,69,42.1770227914513,40.1027063881468,25.4118549048141
75.4,73.4,48.2,71.8,43.5130292183007,41.049038277201,25.7870486112695
75.8,75.6,15.4,69.2,43.0351233662098,42.1017771921204,27.3808888075779
9.6,67.8,30.2,2.2,39.0958384559172,44.1940086224133,26.7759922726059
